POSTCODE_2017,RA_NAME_2016
0800,Outer Regional Australia
0810,Outer Regional Australia
0812,Outer Regional Australia
0815,Outer Regional Australia
0820,Outer Regional Australia
0822,Outer Regional Australia
0822,Remote Australia
0822,Very Remote Australia
0828,Outer Regional Australia
0829,Outer Regional Australia
0830,Outer Regional Australia
0832,Outer Regional Australia
0834,Outer Regional Australia
0835,Outer Regional Australia
0836,Outer Regional Australia
0837,Outer Regional Australia
0838,Outer Regional Australia
0839,Outer Regional Australia
0840,Remote Australia
0841,Outer Regional Australia
0845,Remote Australia
0846,Remote Australia
0847,Remote Australia
0850,Remote Australia
0852,Remote Australia
0852,Very Remote Australia
0853,Remote Australia
0854,Very Remote Australia
0860,Very Remote Australia
0862,Very Remote Australia
0870,Remote Australia
0872,Very Remote Australia
0872,Very Remote Australia
0872,Remote Australia
0872,Very Remote Australia
0873,Remote Australia
0874,Remote Australia
0875,Remote Australia
0880,Very Remote Australia
0885,Very Remote Australia
0886,Remote Australia
2000,Major Cities of Australia
2006,Major Cities of Australia
2007,Major Cities of Australia
2008,Major Cities of Australia
2009,Major Cities of Australia
2010,Major Cities of Australia
2011,Major Cities of Australia
2015,Major Cities of Australia
2016,Major Cities of Australia
2017,Major Cities of Australia
2018,Major Cities of Australia
2019,Major Cities of Australia
2020,Major Cities of Australia
2021,Major Cities of Australia
2022,Major Cities of Australia
2023,Major Cities of Australia
2024,Major Cities of Australia
2025,Major Cities of Australia
2026,Major Cities of Australia
2027,Major Cities of Australia
2028,Major Cities of Australia
2029,Major Cities of Australia
2030,Major Cities of Australia
2031,Major Cities of Australia
2032,Major Cities of Australia
2033,Major Cities of Australia
2034,Major Cities of Australia
2035,Major Cities of Australia
2036,Major Cities of Australia
2037,Major Cities of Australia
2038,Major Cities of Australia
2039,Major Cities of Australia
2040,Major Cities of Australia
2041,Major Cities of Australia
2042,Major Cities of Australia
2043,Major Cities of Australia
2044,Major Cities of Australia
2045,Major Cities of Australia
2046,Major Cities of Australia
2047,Major Cities of Australia
2048,Major Cities of Australia
2049,Major Cities of Australia
2050,Major Cities of Australia
2052,Major Cities of Australia
2060,Major Cities of Australia
2061,Major Cities of Australia
2062,Major Cities of Australia
2063,Major Cities of Australia
2064,Major Cities of Australia
2065,Major Cities of Australia
2066,Major Cities of Australia
2067,Major Cities of Australia
2068,Major Cities of Australia
2069,Major Cities of Australia
2070,Major Cities of Australia
2071,Major Cities of Australia
2072,Major Cities of Australia
2073,Major Cities of Australia
2074,Major Cities of Australia
2075,Major Cities of Australia
2076,Major Cities of Australia
2077,Major Cities of Australia
2079,Major Cities of Australia
2080,Major Cities of Australia
2081,Major Cities of Australia
2081,Inner Regional Australia
2082,Major Cities of Australia
2082,Inner Regional Australia
2083,Inner Regional Australia
2084,Major Cities of Australia
2084,Inner Regional Australia
2085,Major Cities of Australia
2086,Major Cities of Australia
2087,Major Cities of Australia
2088,Major Cities of Australia
2089,Major Cities of Australia
2090,Major Cities of Australia
2091,Major Cities of Australia
2092,Major Cities of Australia
2093,Major Cities of Australia
2094,Major Cities of Australia
2095,Major Cities of Australia
2096,Major Cities of Australia
2097,Major Cities of Australia
2099,Major Cities of Australia
2100,Major Cities of Australia
2101,Major Cities of Australia
2102,Major Cities of Australia
2103,Major Cities of Australia
2104,Major Cities of Australia
2105,Major Cities of Australia
2105,Inner Regional Australia
2106,Major Cities of Australia
2107,Major Cities of Australia
2108,Major Cities of Australia
2108,Inner Regional Australia
2109,Major Cities of Australia
2110,Major Cities of Australia
2111,Major Cities of Australia
2112,Major Cities of Australia
2113,Major Cities of Australia
2114,Major Cities of Australia
2115,Major Cities of Australia
2116,Major Cities of Australia
2117,Major Cities of Australia
2118,Major Cities of Australia
2119,Major Cities of Australia
2120,Major Cities of Australia
2121,Major Cities of Australia
2122,Major Cities of Australia
2123,Major Cities of Australia
2125,Major Cities of Australia
2126,Major Cities of Australia
2127,Major Cities of Australia
2128,Major Cities of Australia
2129,Major Cities of Australia
2130,Major Cities of Australia
2131,Major Cities of Australia
2132,Major Cities of Australia
2133,Major Cities of Australia
2134,Major Cities of Australia
2135,Major Cities of Australia
2136,Major Cities of Australia
2137,Major Cities of Australia
2138,Major Cities of Australia
2139,Major Cities of Australia
2140,Major Cities of Australia
2141,Major Cities of Australia
2142,Major Cities of Australia
2143,Major Cities of Australia
2144,Major Cities of Australia
2145,Major Cities of Australia
2146,Major Cities of Australia
2147,Major Cities of Australia
2148,Major Cities of Australia
2150,Major Cities of Australia
2151,Major Cities of Australia
2152,Major Cities of Australia
2153,Major Cities of Australia
2154,Major Cities of Australia
2155,Major Cities of Australia
2156,Major Cities of Australia
2156,Inner Regional Australia
2157,Inner Regional Australia
2158,Major Cities of Australia
2158,Inner Regional Australia
2159,Major Cities of Australia
2159,Inner Regional Australia
2160,Major Cities of Australia
2161,Major Cities of Australia
2162,Major Cities of Australia
2163,Major Cities of Australia
2164,Major Cities of Australia
2165,Major Cities of Australia
2166,Major Cities of Australia
2167,Major Cities of Australia
2168,Major Cities of Australia
2170,Major Cities of Australia
2171,Major Cities of Australia
2172,Major Cities of Australia
2173,Major Cities of Australia
2174,Major Cities of Australia
2175,Major Cities of Australia
2176,Major Cities of Australia
2177,Major Cities of Australia
2178,Major Cities of Australia
2179,Major Cities of Australia
2190,Major Cities of Australia
2191,Major Cities of Australia
2192,Major Cities of Australia
2193,Major Cities of Australia
2194,Major Cities of Australia
2195,Major Cities of Australia
2196,Major Cities of Australia
2197,Major Cities of Australia
2198,Major Cities of Australia
2199,Major Cities of Australia
2200,Major Cities of Australia
2203,Major Cities of Australia
2204,Major Cities of Australia
2205,Major Cities of Australia
2206,Major Cities of Australia
2207,Major Cities of Australia
2208,Major Cities of Australia
2209,Major Cities of Australia
2210,Major Cities of Australia
2211,Major Cities of Australia
2212,Major Cities of Australia
2213,Major Cities of Australia
2214,Major Cities of Australia
2216,Major Cities of Australia
2217,Major Cities of Australia
2218,Major Cities of Australia
2219,Major Cities of Australia
2220,Major Cities of Australia
2221,Major Cities of Australia
2222,Major Cities of Australia
2223,Major Cities of Australia
2224,Major Cities of Australia
2225,Major Cities of Australia
2226,Major Cities of Australia
2227,Major Cities of Australia
2228,Major Cities of Australia
2229,Major Cities of Australia
2230,Major Cities of Australia
2230,Inner Regional Australia
2231,Major Cities of Australia
2232,Major Cities of Australia
2232,Inner Regional Australia
2233,Major Cities of Australia
2233,Inner Regional Australia
2234,Major Cities of Australia
2250,Major Cities of Australia
2250,Inner Regional Australia
2251,Major Cities of Australia
2256,Major Cities of Australia
2256,Inner Regional Australia
2257,Major Cities of Australia
2258,Major Cities of Australia
2258,Inner Regional Australia
2259,Major Cities of Australia
2259,Inner Regional Australia
2260,Major Cities of Australia
2261,Major Cities of Australia
2262,Major Cities of Australia
2263,Major Cities of Australia
2264,Major Cities of Australia
2264,Inner Regional Australia
2265,Major Cities of Australia
2265,Inner Regional Australia
2267,Major Cities of Australia
2278,Major Cities of Australia
2280,Major Cities of Australia
2281,Major Cities of Australia
2281,Inner Regional Australia
2282,Major Cities of Australia
2283,Major Cities of Australia
2284,Major Cities of Australia
2285,Major Cities of Australia
2286,Major Cities of Australia
2287,Major Cities of Australia
2289,Major Cities of Australia
2290,Major Cities of Australia
2291,Major Cities of Australia
2292,Major Cities of Australia
2293,Major Cities of Australia
2294,Major Cities of Australia
2295,Major Cities of Australia
2296,Major Cities of Australia
2297,Major Cities of Australia
2298,Major Cities of Australia
2299,Major Cities of Australia
2300,Major Cities of Australia
2302,Major Cities of Australia
2303,Major Cities of Australia
2304,Major Cities of Australia
2305,Major Cities of Australia
2306,Major Cities of Australia
2307,Major Cities of Australia
2308,Major Cities of Australia
2311,Inner Regional Australia
2311,Outer Regional Australia
2312,Inner Regional Australia
2314,Inner Regional Australia
2315,Inner Regional Australia
2316,Inner Regional Australia
2317,Inner Regional Australia
2318,Major Cities of Australia
2318,Inner Regional Australia
2319,Inner Regional Australia
2320,Major Cities of Australia
2320,Inner Regional Australia
2321,Major Cities of Australia
2321,Inner Regional Australia
2322,Major Cities of Australia
2322,Inner Regional Australia
2323,Major Cities of Australia
2323,Inner Regional Australia
2324,Major Cities of Australia
2324,Inner Regional Australia
2325,Major Cities of Australia
2325,Inner Regional Australia
2325,Outer Regional Australia
2326,Major Cities of Australia
2326,Inner Regional Australia
2327,Major Cities of Australia
2328,Inner Regional Australia
2328,Outer Regional Australia
2329,Outer Regional Australia
2330,Inner Regional Australia
2330,Outer Regional Australia
2331,Inner Regional Australia
2333,Inner Regional Australia
2333,Outer Regional Australia
2334,Inner Regional Australia
2335,Inner Regional Australia
2336,Inner Regional Australia
2336,Outer Regional Australia
2337,Inner Regional Australia
2337,Outer Regional Australia
2338,Outer Regional Australia
2339,Outer Regional Australia
2340,Inner Regional Australia
2340,Outer Regional Australia
2341,Inner Regional Australia
2341,Outer Regional Australia
2342,Outer Regional Australia
2343,Outer Regional Australia
2344,Inner Regional Australia
2344,Outer Regional Australia
2345,Outer Regional Australia
2346,Outer Regional Australia
2347,Outer Regional Australia
2350,Inner Regional Australia
2350,Outer Regional Australia
2351,Inner Regional Australia
2352,Inner Regional Australia
2352,Outer Regional Australia
2353,Inner Regional Australia
2353,Outer Regional Australia
2354,Outer Regional Australia
2355,Outer Regional Australia
2356,Remote Australia
2357,Outer Regional Australia
2358,Inner Regional Australia
2358,Outer Regional Australia
2359,Outer Regional Australia
2360,Outer Regional Australia
2361,Outer Regional Australia
2365,Outer Regional Australia
2369,Outer Regional Australia
2370,Outer Regional Australia
2371,Outer Regional Australia
2372,Outer Regional Australia
2379,Outer Regional Australia
2380,Outer Regional Australia
2381,Outer Regional Australia
2382,Outer Regional Australia
2386,Remote Australia
2387,Remote Australia
2388,Outer Regional Australia
2388,Remote Australia
2390,Outer Regional Australia
2395,Outer Regional Australia
2396,Outer Regional Australia
2396,Remote Australia
2397,Outer Regional Australia
2397,Remote Australia
2398,Outer Regional Australia
2399,Outer Regional Australia
2400,Outer Regional Australia
2400,Remote Australia
2401,Outer Regional Australia
2402,Outer Regional Australia
2403,Outer Regional Australia
2404,Outer Regional Australia
2405,Remote Australia
2406,Remote Australia
2406,Remote Australia
2408,Outer Regional Australia
2409,Outer Regional Australia
2410,Outer Regional Australia
2411,Outer Regional Australia
2415,Inner Regional Australia
2420,Inner Regional Australia
2420,Outer Regional Australia
2421,Inner Regional Australia
2422,Inner Regional Australia
2422,Outer Regional Australia
2423,Inner Regional Australia
2424,Inner Regional Australia
2424,Outer Regional Australia
2425,Inner Regional Australia
2426,Inner Regional Australia
2427,Inner Regional Australia
2428,Inner Regional Australia
2429,Inner Regional Australia
2429,Outer Regional Australia
2430,Inner Regional Australia
2431,Outer Regional Australia
2439,Inner Regional Australia
2440,Inner Regional Australia
2440,Outer Regional Australia
2441,Inner Regional Australia
2441,Outer Regional Australia
2443,Inner Regional Australia
2444,Inner Regional Australia
2445,Inner Regional Australia
2446,Inner Regional Australia
2446,Outer Regional Australia
2447,Outer Regional Australia
2448,Outer Regional Australia
2449,Outer Regional Australia
2450,Inner Regional Australia
2450,Outer Regional Australia
2452,Inner Regional Australia
2453,Outer Regional Australia
2454,Inner Regional Australia
2454,Outer Regional Australia
2455,Outer Regional Australia
2456,Inner Regional Australia
2456,Outer Regional Australia
2460,Inner Regional Australia
2460,Outer Regional Australia
2462,Inner Regional Australia
2462,Outer Regional Australia
2463,Inner Regional Australia
2463,Outer Regional Australia
2464,Inner Regional Australia
2465,Inner Regional Australia
2466,Inner Regional Australia
2469,Inner Regional Australia
2469,Outer Regional Australia
2470,Inner Regional Australia
2470,Outer Regional Australia
2471,Inner Regional Australia
2472,Inner Regional Australia
2473,Inner Regional Australia
2474,Inner Regional Australia
2474,Outer Regional Australia
2475,Outer Regional Australia
2476,Outer Regional Australia
2477,Inner Regional Australia
2478,Inner Regional Australia
2479,Inner Regional Australia
2480,Inner Regional Australia
2481,Inner Regional Australia
2482,Inner Regional Australia
2483,Inner Regional Australia
2484,Major Cities of Australia
2484,Inner Regional Australia
2485,Major Cities of Australia
2486,Major Cities of Australia
2486,Inner Regional Australia
2487,Major Cities of Australia
2487,Inner Regional Australia
2488,Major Cities of Australia
2489,Major Cities of Australia
2489,Inner Regional Australia
2490,Major Cities of Australia
2490,Inner Regional Australia
2500,Major Cities of Australia
2502,Major Cities of Australia
2505,Major Cities of Australia
2506,Major Cities of Australia
2508,Major Cities of Australia
2508,Inner Regional Australia
2515,Major Cities of Australia
2516,Major Cities of Australia
2517,Major Cities of Australia
2518,Major Cities of Australia
2519,Major Cities of Australia
2522,Major Cities of Australia
2525,Major Cities of Australia
2526,Major Cities of Australia
2527,Major Cities of Australia
2527,Inner Regional Australia
2528,Major Cities of Australia
2529,Major Cities of Australia
2529,Inner Regional Australia
2530,Major Cities of Australia
2530,Inner Regional Australia
2533,Inner Regional Australia
2534,Inner Regional Australia
2535,Inner Regional Australia
2536,Inner Regional Australia
2537,Inner Regional Australia
2537,Outer Regional Australia
2538,Inner Regional Australia
2539,Inner Regional Australia
2539,Outer Regional Australia
2540,Inner Regional Australia
2540,Inner Regional Australia
2541,Inner Regional Australia
2545,Outer Regional Australia
2546,Outer Regional Australia
2548,Outer Regional Australia
2549,Outer Regional Australia
2550,Outer Regional Australia
2551,Outer Regional Australia
2555,Major Cities of Australia
2555,Inner Regional Australia
2556,Major Cities of Australia
2556,Inner Regional Australia
2557,Major Cities of Australia
2558,Major Cities of Australia
2559,Major Cities of Australia
2560,Major Cities of Australia
2560,Inner Regional Australia
2563,Major Cities of Australia
2564,Major Cities of Australia
2565,Major Cities of Australia
2566,Major Cities of Australia
2567,Major Cities of Australia
2568,Major Cities of Australia
2568,Inner Regional Australia
2569,Major Cities of Australia
2569,Inner Regional Australia
2570,Major Cities of Australia
2570,Inner Regional Australia
2571,Inner Regional Australia
2572,Inner Regional Australia
2573,Inner Regional Australia
2574,Inner Regional Australia
2575,Inner Regional Australia
2576,Inner Regional Australia
2577,Inner Regional Australia
2578,Inner Regional Australia
2579,Inner Regional Australia
2580,Inner Regional Australia
2580,Outer Regional Australia
2581,Inner Regional Australia
2582,Inner Regional Australia
2582,Outer Regional Australia
2583,Inner Regional Australia
2583,Outer Regional Australia
2584,Inner Regional Australia
2585,Inner Regional Australia
2586,Inner Regional Australia
2586,Outer Regional Australia
2587,Inner Regional Australia
2588,Inner Regional Australia
2590,Inner Regional Australia
2590,Outer Regional Australia
2594,Inner Regional Australia
2594,Outer Regional Australia
2600,Major Cities of Australia
2601,Major Cities of Australia
2602,Major Cities of Australia
2603,Major Cities of Australia
2604,Major Cities of Australia
2605,Major Cities of Australia
2606,Major Cities of Australia
2607,Major Cities of Australia
2609,Major Cities of Australia
2611,Inner Regional Australia
2611,Outer Regional Australia
2611,Major Cities of Australia
2611,Inner Regional Australia
2612,Major Cities of Australia
2614,Major Cities of Australia
2615,Major Cities of Australia
2617,Major Cities of Australia
2618,Major Cities of Australia
2618,Inner Regional Australia
2618,Major Cities of Australia
2619,Major Cities of Australia
2620,Major Cities of Australia
2620,Inner Regional Australia
2620,Major Cities of Australia
2620,Inner Regional Australia
2621,Inner Regional Australia
2622,Inner Regional Australia
2622,Outer Regional Australia
2623,Inner Regional Australia
2625,Outer Regional Australia
2626,Inner Regional Australia
2627,Outer Regional Australia
2628,Outer Regional Australia
2629,Outer Regional Australia
2630,Inner Regional Australia
2630,Outer Regional Australia
2631,Outer Regional Australia
2632,Outer Regional Australia
2633,Outer Regional Australia
2640,Inner Regional Australia
2640,Outer Regional Australia
2641,Inner Regional Australia
2642,Inner Regional Australia
2642,Outer Regional Australia
2643,Inner Regional Australia
2644,Inner Regional Australia
2644,Outer Regional Australia
2645,Outer Regional Australia
2646,Inner Regional Australia
2646,Outer Regional Australia
2647,Inner Regional Australia
2647,Outer Regional Australia
2648,Outer Regional Australia
2648,Remote Australia
2649,Outer Regional Australia
2650,Inner Regional Australia
2650,Outer Regional Australia
2651,Inner Regional Australia
2652,Inner Regional Australia
2652,Outer Regional Australia
2652,Remote Australia
2653,Outer Regional Australia
2655,Inner Regional Australia
2655,Outer Regional Australia
2656,Inner Regional Australia
2656,Outer Regional Australia
2658,Inner Regional Australia
2658,Outer Regional Australia
2659,Inner Regional Australia
2659,Outer Regional Australia
2660,Inner Regional Australia
2661,Inner Regional Australia
2663,Inner Regional Australia
2663,Outer Regional Australia
2665,Outer Regional Australia
2666,Inner Regional Australia
2666,Outer Regional Australia
2668,Outer Regional Australia
2669,Outer Regional Australia
2669,Remote Australia
2671,Outer Regional Australia
2672,Remote Australia
2675,Remote Australia
2678,Inner Regional Australia
2680,Outer Regional Australia
2681,Outer Regional Australia
2700,Outer Regional Australia
2701,Inner Regional Australia
2701,Outer Regional Australia
2702,Outer Regional Australia
2703,Outer Regional Australia
2705,Outer Regional Australia
2706,Outer Regional Australia
2707,Outer Regional Australia
2710,Inner Regional Australia
2710,Outer Regional Australia
2711,Outer Regional Australia
2711,Remote Australia
2712,Outer Regional Australia
2713,Inner Regional Australia
2713,Outer Regional Australia
2714,Inner Regional Australia
2714,Outer Regional Australia
2715,Outer Regional Australia
2715,Remote Australia
2716,Outer Regional Australia
2717,Outer Regional Australia
2720,Inner Regional Australia
2720,Outer Regional Australia
2721,Outer Regional Australia
2722,Inner Regional Australia
2722,Outer Regional Australia
2725,Outer Regional Australia
2726,Outer Regional Australia
2727,Outer Regional Australia
2729,Inner Regional Australia
2729,Outer Regional Australia
2730,Outer Regional Australia
2731,Inner Regional Australia
2731,Outer Regional Australia
2732,Outer Regional Australia
2733,Outer Regional Australia
2734,Outer Regional Australia
2734,Remote Australia
2735,Outer Regional Australia
2736,Outer Regional Australia
2737,Outer Regional Australia
2737,Remote Australia
2738,Outer Regional Australia
2738,Remote Australia
2739,Outer Regional Australia
2745,Major Cities of Australia
2745,Inner Regional Australia
2747,Major Cities of Australia
2748,Major Cities of Australia
2749,Major Cities of Australia
2750,Major Cities of Australia
2752,Inner Regional Australia
2753,Major Cities of Australia
2753,Inner Regional Australia
2754,Major Cities of Australia
2754,Inner Regional Australia
2755,Major Cities of Australia
2756,Major Cities of Australia
2756,Inner Regional Australia
2756,Outer Regional Australia
2757,Major Cities of Australia
2757,Inner Regional Australia
2758,Inner Regional Australia
2759,Major Cities of Australia
2760,Major Cities of Australia
2761,Major Cities of Australia
2762,Major Cities of Australia
2763,Major Cities of Australia
2765,Major Cities of Australia
2765,Inner Regional Australia
2766,Major Cities of Australia
2767,Major Cities of Australia
2768,Major Cities of Australia
2769,Major Cities of Australia
2770,Major Cities of Australia
2773,Major Cities of Australia
2774,Major Cities of Australia
2775,Inner Regional Australia
2776,Major Cities of Australia
2777,Major Cities of Australia
2778,Major Cities of Australia
2779,Major Cities of Australia
2780,Major Cities of Australia
2780,Inner Regional Australia
2782,Major Cities of Australia
2783,Major Cities of Australia
2784,Major Cities of Australia
2785,Inner Regional Australia
2786,Inner Regional Australia
2787,Inner Regional Australia
2787,Outer Regional Australia
2790,Inner Regional Australia
2791,Inner Regional Australia
2792,Inner Regional Australia
2792,Outer Regional Australia
2793,Inner Regional Australia
2793,Outer Regional Australia
2794,Inner Regional Australia
2794,Outer Regional Australia
2795,Inner Regional Australia
2795,Outer Regional Australia
2797,Outer Regional Australia
2798,Inner Regional Australia
2799,Inner Regional Australia
2799,Outer Regional Australia
2800,Inner Regional Australia
2800,Outer Regional Australia
2803,Outer Regional Australia
2804,Inner Regional Australia
2804,Outer Regional Australia
2805,Outer Regional Australia
2806,Outer Regional Australia
2807,Outer Regional Australia
2808,Outer Regional Australia
2809,Outer Regional Australia
2810,Outer Regional Australia
2817,Outer Regional Australia
2818,Outer Regional Australia
2820,Outer Regional Australia
2821,Outer Regional Australia
2822,Outer Regional Australia
2823,Outer Regional Australia
2824,Outer Regional Australia
2824,Remote Australia
2825,Remote Australia
2826,Remote Australia
